"BehaviorSpace results (NetLogo 5.1.0)"
"task2.nlogo"
"PD HD neighborhood cost"
"12/17/2014 23:21:36:759 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""]"
"322","""PD""","0.2","0.01","1","0","""moore_r=3""","true","391","0"
"321","""PD""","0.2","0.01","1","0","""moore_r=3""","true","486","0"
"323","""PD""","0.2","0.01","1","0","""moore_r=3""","true","475","0"
"324","""PD""","0.2","0.01","1","0","""moore_r=3""","true","628","0"
"325","""PD""","0.2","0.01","1","0","""moore_r=3""","true","416","0"
"327","""PD""","0.2","0.01","1","0","""moore_r=3""","true","468","0"
"326","""PD""","0.2","0.01","1","0","""moore_r=3""","true","489","0"
"328","""PD""","0.2","0.01","1","0","""moore_r=3""","true","340","0"
"331","""PD""","0.21","0.01","1","0","""moore_r=1""","true","795","0"
"332","""PD""","0.21","0.01","1","0","""moore_r=1""","true","884","0"
"333","""PD""","0.21","0.01","1","0","""moore_r=1""","true","701","0"
"329","""PD""","0.2","0.01","1","0","""moore_r=3""","true","440","0"
"334","""PD""","0.21","0.01","1","0","""moore_r=1""","true","1000","56"
"335","""PD""","0.21","0.01","1","0","""moore_r=1""","true","1000","2"
"336","""PD""","0.21","0.01","1","0","""moore_r=1""","true","945","0"
"337","""PD""","0.21","0.01","1","0","""moore_r=1""","true","702","0"
"330","""PD""","0.2","0.01","1","0","""moore_r=3""","true","391","0"
"338","""PD""","0.21","0.01","1","0","""moore_r=1""","true","967","0"
"339","""PD""","0.21","0.01","1","0","""moore_r=1""","true","853","0"
"340","""PD""","0.21","0.01","1","0","""moore_r=1""","true","995","0"
"342","""PD""","0.21","0.01","1","0","""von neumann_r=1""","true","977","0"
"343","""PD""","0.21","0.01","1","0","""von neumann_r=1""","true","944","0"
"341","""PD""","0.21","0.01","1","0","""von neumann_r=1""","true","946","0"
"344","""PD""","0.21","0.01","1","0","""von neumann_r=1""","true","933","0"
"346","""PD""","0.21","0.01","1","0","""von neumann_r=1""","true","1000","4"
